ticker,market_cap,Class
BTC/USD,170344525024.0,2
ETH/USD,26891655165.0,0
USDT/USD,9169295586.0,1
XRP/USD,8800505373.0,0
BCH/USD,4252630354.0,0
ADA/USD,3401015614.0,0
LTC/USD,2848570986.0,0
LINK/USD,2834583353.0,0
EOS/USD,2391829870.0,0
XTZ/USD,2179586211.0,0
XLM/USD,1865057741.0,0
XMR/USD,1202511933.0,0
ATOM/USD,762013579.0,0
ETC/USD,733885303.0,0
DASH/USD,692877915.0,0
ZEC/USD,593854650.0,0
DOGE/USD,409523074.0,2
BAT/USD,389407617.0,0
QTUM/USD,228637468.0,0
ICX/USD,224895789.0,0
REP/USD,220219794.0,0
OMG/USD,214051467.0,0
DAI/USD,197459036.0,2
LSK/USD,153191393.0,0
SC/USD,139874086.0,2
WAVES/USD,133762969.0,0
NANO/USD,132480370.0,0
PAXG/USD,43250160.0,0
GNO/USD,30442267.0,0
