ticker,market_cap,price,circulating_suppy,volume_24h,sharpe_ratio,SD,Class
BTC/USD,170509614774.0,9250.16,18433153.02373148,17837636979.0,0.8546724939428715,0.7385907462697356,1
ETH/USD,26901749762.0,240.71,111760000.67300901,7248621536.0,1.357705817420663,0.9379540837046955,0
USDT/USD,9184876447.0,0.999661,9187991176.008667,21707929706.0,0.15337738746466437,0.025650989010751444,1
XRP/USD,8806231208.0,0.198976,44257755749.43712,1205512231.0,0.46100906182041634,0.7596103662068067,1
BCH/USD,4241654063.0,229.75,18462041.623503808,1124531744.0,0.7050819121275425,1.0261966572253494,0
ADA/USD,3414755726.0,0.131706,25927108301.82376,441711968.0,2.299369100819617,1.0015746604195785,0
LTC/USD,2848090666.0,43.8,65024901.05022831,1861122267.0,0.547208716196963,0.8771282112050366,1
LINK/USD,2775216725.0,7.93,349964278.0580076,1159501708.0,2.423581531941278,1.0305836737700493,0
EOS/USD,2387617163.0,2.56,932662954.296875,1290616238.0,0.4862032811862133,0.9100124024155144,1
XTZ/USD,2138949634.0,2.9,737568839.3103448,247497888.0,1.4936408014534053,1.0332553102979534,0
XLM/USD,1894739497.0,0.092568,20468623033.8778,311359289.0,1.5209263479495279,0.8688364481404021,0
XMR/USD,1195946531.0,67.83,17631527.804806132,67838797.0,1.0718412041362937,0.8445742471989403,0
ATOM/USD,743183943.0,3.9,190559985.3846154,157573462.0,0.38145124595222096,0.9478162952227072,1
ETC/USD,735423401.0,6.32,116364462.1835443,571961546.0,0.9771189202412527,1.0141735448748408,0
DASH/USD,689988859.0,71.87,9600512.856546542,230131066.0,1.157330855663934,1.1764909310660543,0
ZEC/USD,602990659.0,62.85,9594123.452665076,263345736.0,1.5638477150224928,0.9969904906954228,0
DOGE/USD,408158733.0,0.003255,125394388018.43318,101644748.0,1.0774384532167718,1.0337274924427855,0
BAT/USD,386975088.0,0.261291,1481011929.2283316,129734981.0,0.916229052905763,0.9617413207735312,0
QTUM/USD,236128090.0,2.44,96773807.37704918,424597025.0,1.1108319329900658,0.9533483321369147,0
ICX/USD,227859665.0,0.416077,547638213.5998865,37578341.0,1.9513393196828317,1.2087343362234768,0
REP/USD,220939209.0,20.09,10997471.826779492,23080481.0,1.450853173369287,1.231931481341195,0
OMG/USD,214138777.0,1.53,139959984.96732026,74552695.0,1.587785473606906,1.1740964134732572,0
DAI/USD,197840095.0,1.01,195881282.17821783,7905532.0,0.30989666925376175,0.10653593198935978,1
LSK/USD,153407561.0,1.23,124721594.3089431,4899340.0,1.4950235308522186,1.1513186512716722,0
SC/USD,140439041.0,0.003358,41822227814.1751,4378264.0,1.6320466965291112,1.2893510032258895,0
NANO/USD,133218224.0,0.999774,133248338.12441611,6539229.0,1.0757435371318955,1.075009496322741,0
WAVES/USD,133169284.0,1.3,102437910.76923077,40179638.0,0.8143575314890601,0.9805365550605326,0
PAXG/USD,43176266.0,1809.47,23861.277611676345,1115060.0,1.079968751077804,0.248706226512581,1
GNO/USD,30582388.0,27.69,1104456.049115204,166311.0,1.8130559062055986,0.8804819054224718,0
